song_id,difficulty,total_active_time,avg_nps,peak_nps,avg_strums_per_sec,peak_strums_per_sec,avg_fret_changes_per_sec,peak_fret_changes_per_sec
aha_huntinghighandlowst,258,192.5254,5.770668,8.666667,2.986619,4.0,2.498372,5.333333
app_gamespeople,139,199.9416,3.330972,8.0,1.550452,4.333333,3.721086,10.666667
db_somebodyuptherest,176,392.5485,3.148656,8.0,1.607445,5.333333,3.660694,12.666667
ej_stepintochristmas,221,261.8336,7.634619,12.666667,4.155311,6.333333,2.761296,9.333333
elo_shinev2,267,184.9599,8.553207,14.0,4.530713,7.0,2.979025,10.666667
ev_iletgost1x,221,192.6907,6.839977,11.0,4.120593,6.666667,3.279867,9.333333
ho_yourimagination,1,201.2751,2.191031,8.0,1.212271,4.0,2.310271,4.666667
jamiroquai_alrightst,303,191.9856,7.896425,15.0,5.130593,7.333333,3.2242,9.333333
jb_livinginamericast,303,276.5351,5.077113,11.333333,2.936336,7.666667,2.16609,12.0
jc_heartsonfirest,281,199.8869,3.25184,8.666667,2.491409,6.0,3.211817,12.0
king_lovepride,139,93.5468,5.612166,21.0,3.506267,8.666667,3.014535,7.0
maxeen_pleasest,267,219.7554,6.002126,16.0,4.282033,6.0,6.875825,12.0
midtown_giveitupst,221,207.7489,5.92061,11.333333,4.192562,5.666667,5.492208,11.333333
ne_promisespromises,1,146.5427,3.923771,9.333333,2.224608,5.666667,3.289144,9.666667
pc_imissedagainv2st,145,160.0637,3.423637,8.333333,1.699324,4.0,1.486908,4.333333
pc_twohearts,176,200.0566,5.103555,5.666667,3.773932,4.0,3.538998,6.666667
queen_thankgoditschristmst,1,88.487,1.988993,4.333333,1.175314,3.333333,2.441037,7.333333
rhcpwalkabout,267,305.6296,6.880877,17.333333,3.608943,6.333333,3.932865,12.0
sh_hotnightcrashst,139,158.8729,8.74284,11.666667,4.513043,5.666667,3.002401,10.666667
surv_estwb,1,144.0355,2.409129,6.333333,1.881481,4.333333,3.381112,8.0
surv_iseeyouineveryone,267,224.9811,1.94683,6.0,1.035643,3.333333,1.924606,7.333333
surv_poormansson,267,197.9708,2.374087,7.0,1.338581,5.0,2.8287,13.333333
surv_summernights,267,201.8571,3.09625,8.666667,1.70913,4.333333,3.992925,15.0
toto_itsafeelingv2st,81,181.7325,2.646747,5.333333,2.256063,4.0,4.451598,8.0
toto_waitingforyourlove,1,210.1979,2.378711,5.0,1.617524,4.0,1.332078,3.0
yellowcard_roughlandinghol,196,203.2393,9.756972,18.0,5.09744,6.0,2.981707,12.333333
